=== 自动建图数据 ===
总步数: 562
总时间: 180.86秒
建图方式: 自动探索算法

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
0,144.96,0.000,0.000,0.028,2.71,2.97,3.00,3.29,2.71
1,145.02,0.010,0.000,0.028,2.71,2.97,3.01,3.30,2.71
2,145.09,0.020,0.000,0.028,2.70,2.97,3.00,3.30,2.70
3,145.15,0.030,0.000,0.028,2.69,2.96,3.00,3.31,2.69
4,145.22,0.040,0.000,0.028,2.69,2.97,0.45,3.32,0.45
5,145.28,0.050,0.000,0.028,2.68,2.96,0.42,3.33,0.42
6,145.34,0.060,0.000,0.028,2.68,2.96,0.42,3.33,0.42
7,145.41,0.070,0.000,0.028,2.67,2.96,0.42,3.34,0.42
8,145.47,0.080,0.000,0.028,2.67,2.97,0.42,3.35,0.42
9,145.54,0.090,0.000,0.028,2.66,2.96,0.42,3.35,0.42
10,145.60,0.100,0.000,0.028,2.64,2.95,0.41,3.35,0.41
11,145.66,0.110,0.000,0.028,2.65,2.97,0.42,3.37,0.42
12,145.73,0.120,0.000,0.028,2.63,2.96,0.42,3.37,0.42
13,145.79,0.130,0.000,0.028,2.63,2.96,0.42,3.38,0.42
14,145.86,0.140,0.000,0.028,2.62,2.96,0.42,3.38,0.42
15,145.92,0.150,0.000,0.028,2.62,2.96,0.42,3.39,0.42
16,145.98,0.160,0.000,0.028,2.61,2.96,0.42,3.40,0.42
17,146.05,0.170,0.000,0.028,2.61,2.95,0.42,3.40,0.42
18,146.11,0.180,0.000,0.028,2.60,2.95,0.42,3.41,0.42
19,146.18,0.190,0.000,0.028,2.59,2.95,0.42,3.41,0.42
20,146.24,0.200,0.000,0.028,2.58,2.96,0.42,3.42,0.42
21,146.30,0.210,0.000,0.028,2.59,2.95,0.42,3.43,0.42
22,146.37,0.220,0.000,0.028,2.59,2.96,0.43,3.45,0.43
23,146.43,0.230,0.000,0.028,2.56,2.95,0.42,3.43,0.42
24,146.50,0.240,0.000,0.028,2.57,2.95,0.42,3.45,0.42
25,146.56,0.250,0.000,0.028,2.54,2.94,0.41,3.44,0.41
26,146.62,0.260,0.000,0.028,2.55,2.93,0.41,3.44,0.41
27,146.69,0.270,0.000,0.028,2.55,2.95,0.43,3.47,0.43
28,146.75,0.280,0.000,0.028,2.54,2.95,0.42,3.47,0.42
29,146.82,0.290,0.000,0.028,2.53,2.95,0.42,3.47,0.42
30,146.88,0.300,0.000,0.028,2.52,2.93,0.42,3.48,0.42
31,146.94,0.310,0.000,-0.060,2.53,2.90,0.43,3.48,0.43
32,147.01,0.320,0.000,-0.060,2.52,2.90,0.43,3.48,0.43
33,147.07,0.330,0.000,-0.060,2.51,2.89,0.42,3.48,0.42
34,147.14,0.340,0.000,-0.060,2.50,2.90,0.42,3.49,0.42
35,147.20,0.350,0.000,-0.060,2.50,2.90,0.43,5.00,0.43
36,147.26,0.360,0.000,-0.060,2.49,2.89,0.42,5.00,0.42
37,147.33,0.370,0.000,-0.060,2.49,2.88,0.42,5.00,0.42
38,147.39,0.380,0.000,-0.060,2.47,2.89,0.41,5.00,0.41
39,147.46,0.390,0.000,-0.060,2.47,2.89,0.42,5.00,0.42
40,147.52,0.400,0.000,-0.060,2.46,2.89,0.42,5.00,0.42
41,147.58,0.410,0.000,-0.060,2.46,2.89,0.42,5.00,0.42
42,147.65,0.420,0.000,-0.060,2.46,2.89,0.42,5.00,0.42
43,147.71,0.430,0.000,-0.060,2.45,2.89,0.43,5.00,0.43
44,147.78,0.440,0.000,-0.060,2.45,2.89,0.42,5.00,0.42
45,147.84,0.450,0.000,-0.060,2.43,2.89,0.42,5.00,0.42
46,147.90,0.460,0.000,-0.060,2.42,2.88,0.41,5.00,0.41
47,147.97,0.470,0.000,-0.060,2.43,2.88,0.43,5.00,0.43
48,148.03,0.480,0.000,-0.060,2.42,2.87,0.42,5.00,0.42
49,148.10,0.490,0.000,-0.060,2.41,2.87,0.42,5.00,0.42
50,148.16,0.500,0.000,-0.060,2.40,2.88,0.41,5.00,0.41
51,148.22,0.510,0.000,-0.060,2.40,2.88,0.42,5.00,0.42
52,148.29,0.520,0.000,-0.060,2.39,2.86,0.42,5.00,0.42
53,148.35,0.530,0.000,-0.060,2.38,2.88,0.42,5.00,0.42
54,148.42,0.540,0.000,-0.060,2.38,2.87,0.42,5.00,0.42
55,148.48,0.550,0.000,-0.060,2.37,2.87,0.42,5.00,0.42
56,148.54,0.560,0.000,-0.060,2.37,2.86,0.42,5.00,0.42
57,148.61,0.570,0.000,-0.060,2.36,2.86,0.42,5.00,0.42
58,148.67,0.580,0.000,-0.060,2.35,2.86,0.41,5.00,0.41
59,148.74,0.590,0.000,-0.060,2.35,2.85,0.53,5.00,0.53
60,148.80,0.600,0.000,-0.060,2.34,2.86,0.62,5.00,0.62
61,148.86,0.610,0.000,-0.060,2.33,2.86,0.70,5.00,0.70
62,148.93,0.620,0.000,-0.060,2.33,2.85,3.01,5.00,2.33
63,148.99,0.630,0.000,-0.060,2.32,2.85,3.00,5.00,2.32
64,149.06,0.640,0.000,-0.060,2.31,2.85,2.99,5.00,2.31
65,149.12,0.650,0.000,-0.060,2.30,2.85,2.99,5.00,2.30
66,149.18,0.660,0.000,-0.060,2.30,2.84,2.99,5.00,2.30
67,149.25,0.670,0.000,-0.060,2.30,2.85,2.99,5.00,2.30
68,149.31,0.680,0.000,-0.060,2.29,2.85,2.99,5.00,2.29
69,149.38,0.690,0.000,-0.060,2.28,2.85,2.99,5.00,2.28
70,149.44,0.700,0.000,-0.060,2.28,2.84,3.00,5.00,2.28
71,149.50,0.710,0.000,-0.060,2.27,2.84,2.98,5.00,2.27
72,149.57,0.720,0.000,-0.060,2.27,2.84,2.98,5.00,2.27
73,149.63,0.730,0.000,-0.060,2.25,2.83,2.98,5.00,2.25
74,149.70,0.740,0.000,-0.060,2.25,2.83,2.98,5.00,2.25
