=== 自动建图数据 ===
总步数: 2492
总时间: 234.56秒
建图方式: 自动探索算法

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
0,75.07,0.000,0.000,0.028,2.72,2.97,3.01,3.30,2.72
1,75.14,0.010,0.000,-0.055,2.71,2.94,3.03,3.28,2.71
2,75.20,0.020,0.000,-0.055,2.71,2.95,3.03,3.29,2.71
3,75.26,0.030,0.000,-0.055,2.71,2.94,3.04,3.31,2.71
4,75.33,0.040,0.000,-0.055,2.70,2.94,3.04,3.31,2.70
5,75.39,0.050,0.000,-0.055,2.69,2.94,3.03,3.31,2.69
6,75.46,0.060,0.000,-0.055,2.68,2.94,3.03,3.31,2.68
7,75.52,0.070,0.000,-0.055,2.68,2.94,3.03,3.32,2.68
8,75.58,0.080,0.000,-0.055,2.67,2.93,3.03,3.33,2.67
9,75.65,0.090,0.000,-0.055,2.66,2.94,3.03,3.34,2.66
10,75.71,0.100,0.000,-0.055,2.65,2.93,3.02,3.34,2.65
11,75.78,0.110,0.000,-0.055,2.64,2.93,0.41,3.34,0.41
12,75.84,0.120,0.000,-0.055,2.65,2.94,0.42,3.36,0.42
13,75.90,0.130,0.000,-0.055,2.64,2.93,0.41,3.36,0.41
14,75.97,0.140,0.000,-0.055,2.64,2.93,0.42,3.37,0.42
15,76.03,0.150,0.000,-0.055,2.62,2.93,0.41,3.37,0.41
16,76.10,0.160,0.000,-0.055,2.62,2.92,0.42,3.38,0.42
17,76.16,0.170,0.000,-0.055,2.61,2.93,0.41,3.38,0.41
18,76.22,0.180,0.000,-0.055,2.61,2.93,0.41,3.39,0.41
19,76.29,0.190,0.000,-0.055,2.61,2.93,0.42,3.41,0.42
20,76.35,0.200,0.000,-0.055,2.59,2.92,0.41,3.40,0.41
21,76.42,0.210,0.000,-0.055,2.59,2.92,0.41,3.41,0.41
22,76.48,0.220,0.000,-0.055,2.59,2.93,0.42,3.43,0.42
23,76.54,0.230,0.000,-0.055,2.57,2.92,0.41,3.42,0.41
24,76.61,0.240,0.000,-0.055,2.56,2.92,0.41,3.42,0.41
25,76.67,0.250,0.000,-0.055,2.56,2.92,0.41,3.44,0.41
26,76.74,0.260,0.000,-0.055,2.55,2.92,0.41,3.44,0.41
27,76.80,0.270,0.000,-0.055,2.55,2.92,0.41,3.45,0.41
28,76.86,0.280,0.000,-0.055,2.54,2.92,0.41,3.46,0.41
29,76.93,0.290,0.000,-0.055,2.54,2.92,0.41,3.46,0.41
30,76.99,0.300,0.000,-0.055,2.54,2.92,0.42,3.47,0.42
31,77.06,0.310,0.000,-0.055,2.52,2.91,0.41,3.47,0.41
32,77.12,0.320,0.000,-0.055,2.52,2.92,0.42,3.49,0.42
33,77.18,0.330,0.000,-0.055,2.51,2.91,0.41,3.49,0.41
34,77.25,0.340,0.000,-0.055,2.51,2.91,0.41,3.50,0.41
35,77.31,0.350,0.000,-0.055,2.49,2.91,0.40,5.00,0.40
36,77.38,0.360,0.000,-0.055,2.51,2.92,0.42,5.00,0.42
37,77.44,0.370,0.000,-0.055,2.49,2.91,0.41,5.00,0.41
38,77.50,0.380,0.000,-0.055,2.48,2.91,0.41,5.00,0.41
39,77.57,0.390,0.000,-0.055,2.49,2.92,0.42,5.00,0.42
40,77.63,0.400,0.000,-0.055,2.47,2.91,0.41,5.00,0.41
41,77.70,0.410,0.000,-0.055,2.47,2.91,0.41,5.00,0.41
42,77.76,0.420,0.000,-0.055,2.46,2.91,0.41,5.00,0.41
43,77.82,0.430,0.000,-0.055,2.46,2.91,0.41,5.00,0.41
44,77.89,0.440,0.000,-0.055,2.44,2.90,0.41,5.00,0.41
45,77.95,0.450,0.000,-0.055,2.43,2.90,0.40,5.00,0.40
46,78.02,0.460,0.000,-0.055,2.42,2.89,0.40,5.00,0.40
47,78.08,0.470,0.000,-0.055,2.42,2.90,0.40,5.00,0.40
48,78.14,0.480,0.000,-0.055,2.42,2.89,0.40,5.00,0.40
49,78.21,0.490,0.000,-0.055,2.40,2.90,0.40,5.00,0.40
50,78.27,0.500,0.000,-0.055,2.40,2.90,0.40,5.00,0.40
51,78.34,0.510,0.000,-0.055,2.39,2.89,0.40,5.00,0.40
52,78.40,0.520,0.000,-0.055,2.39,2.89,0.40,5.00,0.40
53,78.46,0.530,0.000,-0.055,2.39,2.88,0.41,5.00,0.41
54,78.53,0.540,0.000,-0.055,2.39,2.89,0.42,5.00,0.42
