=== 简单建图数据 ===
总步数: 329
总时间: 427.07秒

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
82,411.26,0.820,0.000,0.213,1.75,2.72,2.73,2.22,1.75
83,411.33,0.830,0.000,0.213,1.74,2.72,2.74,2.21,1.74
84,411.39,0.840,0.000,0.213,1.73,2.72,2.74,2.21,1.73
85,411.46,0.850,0.000,0.213,1.74,2.71,2.73,2.23,1.74
86,411.52,0.860,0.000,0.213,1.73,2.69,2.73,2.21,1.73
87,411.58,0.870,0.000,0.213,1.72,2.69,2.73,2.22,1.72
88,411.65,0.880,0.000,0.213,1.73,0.69,2.72,2.24,0.69
89,411.71,0.890,0.000,0.213,1.71,0.67,2.72,2.22,0.67
90,411.78,0.900,0.000,0.213,1.71,0.68,2.72,2.24,0.68
91,411.84,0.910,0.000,0.213,1.72,0.68,2.72,2.26,0.68
92,411.90,0.920,0.000,0.213,1.71,0.68,2.71,2.26,0.68
93,411.97,0.930,0.000,0.213,1.72,0.69,2.72,2.27,0.69
94,412.03,0.940,0.000,0.213,1.70,0.67,2.71,2.26,0.67
95,412.10,0.950,0.000,0.213,1.68,0.66,2.72,2.25,0.66
96,412.16,0.960,0.000,0.213,1.69,0.68,2.73,2.27,0.68
97,412.22,0.970,0.000,0.213,1.69,0.68,2.71,2.28,0.68
98,412.29,0.980,0.000,0.213,1.68,0.67,2.70,2.28,0.67
99,412.35,0.990,0.000,0.213,1.68,0.67,2.70,2.29,0.67
100,412.42,1.000,0.000,0.213,1.67,0.67,2.69,2.28,0.67
101,412.48,1.010,0.000,0.213,1.67,0.67,2.70,2.29,0.67
102,412.54,1.020,0.000,0.213,1.67,0.67,2.69,2.30,0.67
103,412.61,1.030,0.000,0.213,1.66,0.67,2.71,2.30,0.67
104,412.67,1.040,0.000,0.213,1.66,0.67,2.69,2.31,0.67
105,412.74,1.050,0.000,0.213,1.66,0.67,2.69,2.31,0.67
106,412.80,1.060,0.000,0.213,1.65,0.66,2.70,2.30,0.66
107,412.86,1.070,0.000,0.213,1.65,0.67,2.69,2.33,0.67
108,412.93,1.080,0.000,0.213,1.63,0.65,2.69,2.31,0.65
109,412.99,1.090,0.000,0.213,1.63,0.66,2.67,2.33,0.66
110,413.06,1.100,0.000,0.213,1.63,0.66,2.69,2.32,0.66
111,413.12,1.110,0.000,0.213,1.62,0.66,2.69,2.33,0.66
112,413.18,1.120,0.000,0.213,1.62,0.66,2.69,2.33,0.66
113,413.25,1.130,0.000,0.213,1.63,0.66,2.68,2.35,0.66
114,413.31,1.140,0.000,0.213,1.61,0.65,2.68,2.34,0.65
115,413.38,1.150,0.000,0.213,1.61,0.66,2.68,2.34,0.66
116,413.44,1.160,0.000,0.213,1.61,0.66,2.66,2.36,0.66
117,413.50,1.170,0.000,0.213,1.60,0.65,2.68,2.35,0.65
