=== 粒子滤波定位结果 ===
总步数: 743
粒子数量: 100

步数,时间,估计X,估计Y,估计角度,真实X,真实Y,误差距离
713,373.70,1.659,-1.406,-1.764,0.000,0.000,0.000
714,373.76,1.651,-1.417,-1.777,0.000,0.000,0.000
715,373.82,1.692,-1.441,-1.751,0.000,0.000,0.000
716,373.89,1.639,-1.407,-1.714,0.000,0.000,0.000
717,373.95,1.638,-1.411,-1.714,0.000,0.000,0.000
718,374.02,1.638,-1.415,-1.714,0.000,0.000,0.000
719,374.08,1.637,-1.419,-1.714,0.000,0.000,0.000
720,374.14,1.651,-1.419,-1.719,0.000,0.000,0.000
721,374.21,1.651,-1.423,-1.719,0.000,0.000,0.000
722,374.27,1.651,-1.423,-1.771,0.000,0.000,0.000
723,374.34,1.651,-1.423,-1.822,0.000,0.000,0.000
724,374.40,1.696,-1.450,-1.761,0.000,0.000,0.000
725,374.46,1.704,-1.447,-1.774,0.000,0.000,0.000
726,374.53,1.704,-1.450,-1.773,0.000,0.000,0.000
727,374.59,1.704,-1.456,-1.771,0.000,0.000,0.000
728,374.66,1.685,-1.427,-1.773,0.000,0.000,0.000
729,374.72,1.694,-1.470,-1.758,0.000,0.000,0.000
730,374.78,1.657,-1.449,-1.723,0.000,0.000,0.000
731,374.85,1.571,-1.312,-1.846,0.000,0.000,0.000
732,374.91,1.573,-1.312,-1.846,0.000,0.000,0.000
733,374.98,1.575,-1.312,-1.846,0.000,0.000,0.000
734,375.04,1.569,-1.312,-1.847,0.000,0.000,0.000
735,375.10,1.567,-1.313,-1.846,0.000,0.000,0.000
736,375.17,1.567,-1.313,-1.845,0.000,0.000,0.000
737,375.23,1.568,-1.312,-1.845,0.000,0.000,0.000
738,375.30,1.568,-1.312,-1.847,0.000,0.000,0.000
739,375.36,1.562,-1.313,-1.846,0.000,0.000,0.000
740,375.42,1.571,-1.316,-1.836,0.000,0.000,0.000
741,375.49,1.523,-1.293,-1.870,0.000,0.000,0.000
742,375.55,1.523,-1.293,-1.867,0.000,0.000,0.000

=== 统计信息 ===
平均定位误差: 0.000米
最大定位误差: 0.000米
最小定位误差: 0.000米
